PassengerId,Survived,Pclass,Sex,Age,Fare,Cabin_ind,Family_cnt
125,0,1,0,54.0,77.2875,1,1
126,1,3,0,12.0,11.2417,0,1
127,0,3,0,29.69911764705882,7.75,0,0
128,1,3,0,24.0,7.1417,0,0
129,1,3,1,29.69911764705882,22.3583,1,2
130,0,3,0,45.0,6.975,0,0
131,0,3,0,33.0,7.8958,0,0
132,0,3,0,20.0,7.05,0,0
133,0,3,1,47.0,14.5,0,1
134,1,2,1,29.0,26.0,0,1
135,0,2,0,25.0,13.0,0,0
136,0,2,0,23.0,15.0458,0,0
137,1,1,1,19.0,26.2833,1,2
138,0,1,0,37.0,53.1,1,1
139,0,3,0,16.0,9.2167,0,0
140,0,1,0,24.0,79.2,1,0
141,0,3,1,29.69911764705882,15.2458,0,2
142,1,3,1,22.0,7.75,0,0
143,1,3,1,24.0,15.85,0,1
144,0,3,0,19.0,6.75,0,0
145,0,2,0,18.0,11.5,0,0
146,0,2,0,19.0,36.75,0,2
147,1,3,0,27.0,7.7958,0,0
148,0,3,1,9.0,34.375,0,4
149,0,2,0,36.5,26.0,1,2
150,0,2,0,42.0,13.0,0,0
151,0,2,0,51.0,12.525,0,0
152,1,1,1,22.0,66.6,1,1
153,0,3,0,55.5,8.05,0,0
154,0,3,0,40.5,14.5,0,2
155,0,3,0,29.69911764705882,7.3125,0,0
156,0,1,0,51.0,61.3792,0,1
157,1,3,1,16.0,7.7333,0,0
158,0,3,0,30.0,8.05,0,0
159,0,3,0,29.69911764705882,8.6625,0,0
160,0,3,0,29.69911764705882,69.55,0,10
161,0,3,0,44.0,16.1,0,1
162,1,2,1,40.0,15.75,0,0
163,0,3,0,26.0,7.775,0,0
164,0,3,0,17.0,8.6625,0,0
165,0,3,0,1.0,39.6875,0,5
166,1,3,0,9.0,20.525,0,2
167,1,1,1,29.69911764705882,55.0,1,1
168,0,3,1,45.0,27.9,0,5
169,0,1,0,29.69911764705882,25.925,0,0
170,0,3,0,28.0,56.4958,0,0
171,0,1,0,61.0,33.5,1,0
172,0,3,0,4.0,29.125,0,5
173,1,3,1,1.0,11.1333,0,2
174,0,3,0,21.0,7.925,0,0
175,0,1,0,56.0,30.6958,1,0
176,0,3,0,18.0,7.8542,0,2
177,0,3,0,29.69911764705882,25.4667,0,4
178,0,1,1,50.0,28.7125,1,0
179,0,2,0,30.0,13.0,0,0
180,0,3,0,36.0,0.0,0,0
181,0,3,1,29.69911764705882,69.55,0,10
182,0,2,0,29.69911764705882,15.05,0,0
183,0,3,0,9.0,31.3875,0,6
184,1,2,0,1.0,39.0,1,3
185,1,3,1,4.0,22.025,0,2
186,0,1,0,29.69911764705882,50.0,1,0
187,1,3,1,29.69911764705882,15.5,0,1
188,1,1,0,45.0,26.55,0,0
189,0,3,0,40.0,15.5,0,2
190,0,3,0,36.0,7.8958,0,0
191,1,2,1,32.0,13.0,0,0
192,0,2,0,19.0,13.0,0,0
193,1,3,1,19.0,7.8542,0,1
194,1,2,0,3.0,26.0,1,2
195,1,1,1,44.0,27.7208,1,0
196,1,1,1,58.0,146.5208,1,0
197,0,3,0,29.69911764705882,7.75,0,0
198,0,3,0,42.0,8.4042,0,1
199,1,3,1,29.69911764705882,7.75,0,0
200,0,2,1,24.0,13.0,0,0
201,0,3,0,28.0,9.5,0,0
202,0,3,0,29.69911764705882,69.55,0,10
203,0,3,0,34.0,6.4958,0,0
204,0,3,0,45.5,7.225,0,0
205,1,3,0,18.0,8.05,0,0
206,0,3,1,2.0,10.4625,1,1
207,0,3,0,32.0,15.85,0,1
208,1,3,0,26.0,18.7875,0,0
209,1,3,1,16.0,7.75,0,0
210,1,1,0,40.0,31.0,1,0
211,0,3,0,24.0,7.05,0,0
212,1,2,1,35.0,21.0,0,0
213,0,3,0,22.0,7.25,0,0
214,0,2,0,30.0,13.0,0,0
215,0,3,0,29.69911764705882,7.75,0,1
216,1,1,1,31.0,113.275,1,1
217,1,3,1,27.0,7.925,0,0
218,0,2,0,42.0,27.0,0,1
219,1,1,1,32.0,76.2917,1,0
220,0,2,0,30.0,10.5,0,0
221,1,3,0,16.0,8.05,0,0
222,0,2,0,27.0,13.0,0,0
223,0,3,0,51.0,8.05,0,0
224,0,3,0,29.69911764705882,7.8958,0,0
225,1,1,0,38.0,90.0,1,1
226,0,3,0,22.0,9.35,0,0
227,1,2,0,19.0,10.5,0,0
228,0,3,0,20.5,7.25,0,0
229,0,2,0,18.0,13.0,0,0
230,0,3,1,29.69911764705882,25.4667,0,4
231,1,1,1,35.0,83.475,1,1
232,0,3,0,29.0,7.775,0,0
233,0,2,0,59.0,13.5,0,0
234,1,3,1,5.0,31.3875,0,6
235,0,2,0,24.0,10.5,0,0
236,0,3,1,29.69911764705882,7.55,0,0
237,0,2,0,44.0,26.0,0,1
238,1,2,1,8.0,26.25,0,2
239,0,2,0,19.0,10.5,0,0
240,0,2,0,33.0,12.275,0,0
241,0,3,1,29.69911764705882,14.4542,0,1
242,1,3,1,29.69911764705882,15.5,0,1
243,0,2,0,29.0,10.5,0,0
244,0,3,0,22.0,7.125,0,0
245,0,3,0,30.0,7.225,0,0
246,0,1,0,44.0,90.0,1,2
247,0,3,1,25.0,7.775,0,0
248,1,2,1,24.0,14.5,0,2
249,1,1,0,37.0,52.5542,1,2
250,0,2,0,54.0,26.0,0,1
251,0,3,0,29.69911764705882,7.25,0,0
252,0,3,1,29.0,10.4625,1,2
253,0,1,0,62.0,26.55,1,0
254,0,3,0,30.0,16.1,0,1
255,0,3,1,41.0,20.2125,0,2
256,1,3,1,29.0,15.2458,0,2
257,1,1,1,29.69911764705882,79.2,0,0
258,1,1,1,30.0,86.5,1,0
259,1,1,1,35.0,512.3292,0,0
260,1,2,1,50.0,26.0,0,1
261,0,3,0,29.69911764705882,7.75,0,0
262,1,3,0,3.0,31.3875,0,6
263,0,1,0,52.0,79.65,1,2
264,0,1,0,40.0,0.0,1,0
265,0,3,1,29.69911764705882,7.75,0,0
266,0,2,0,36.0,10.5,0,0
267,0,3,0,16.0,39.6875,0,5
268,1,3,0,25.0,7.775,0,1
269,1,1,1,58.0,153.4625,1,1
270,1,1,1,35.0,135.6333,1,0
271,0,1,0,29.69911764705882,31.0,0,0
272,1,3,0,25.0,0.0,0,0
273,1,2,1,41.0,19.5,0,1
274,0,1,0,37.0,29.7,1,1
275,1,3,1,29.69911764705882,7.75,0,0
276,1,1,1,63.0,77.9583,1,1
277,0,3,1,45.0,7.75,0,0
278,0,2,0,29.69911764705882,0.0,0,0
279,0,3,0,7.0,29.125,0,5
280,1,3,1,35.0,20.25,0,2
281,0,3,0,65.0,7.75,0,0
282,0,3,0,28.0,7.8542,0,0
283,0,3,0,16.0,9.5,0,0
284,1,3,0,19.0,8.05,0,0
285,0,1,0,29.69911764705882,26.0,1,0
286,0,3,0,33.0,8.6625,0,0
287,1,3,0,30.0,9.5,0,0
288,0,3,0,22.0,7.8958,0,0
289,1,2,0,42.0,13.0,0,0
290,1,3,1,22.0,7.75,0,0
291,1,1,1,26.0,78.85,0,0
292,1,1,1,19.0,91.0792,1,1
293,0,2,0,36.0,12.875,1,0
294,0,3,1,24.0,8.85,0,0
295,0,3,0,24.0,7.8958,0,0
296,0,1,0,29.69911764705882,27.7208,0,0
297,0,3,0,23.5,7.2292,0,0
298,0,1,1,2.0,151.55,1,3
299,1,1,0,29.69911764705882,30.5,1,0
300,1,1,1,50.0,247.5208,1,1
301,1,3,1,29.69911764705882,7.75,0,0
302,1,3,0,29.69911764705882,23.25,0,2
303,0,3,0,19.0,0.0,0,0
304,1,2,1,29.69911764705882,12.35,1,0
305,0,3,0,29.69911764705882,8.05,0,0
306,1,1,0,0.92,151.55,1,3
307,1,1,1,29.69911764705882,110.8833,0,0
308,1,1,1,17.0,108.9,1,1
309,0,2,0,30.0,24.0,0,1
310,1,1,1,30.0,56.9292,1,0
311,1,1,1,24.0,83.1583,1,0
312,1,1,1,18.0,262.375,1,4
313,0,2,1,26.0,26.0,0,2
314,0,3,0,28.0,7.8958,0,0
315,0,2,0,43.0,26.25,0,2
316,1,3,1,26.0,7.8542,0,0
317,1,2,1,24.0,26.0,0,1
318,0,2,0,54.0,14.0,0,0
319,1,1,1,31.0,164.8667,1,2
320,1,1,1,40.0,134.5,1,2
321,0,3,0,22.0,7.25,0,0
322,0,3,0,27.0,7.8958,0,0
323,1,2,1,30.0,12.35,0,0
324,1,2,1,22.0,29.0,0,2
325,0,3,0,29.69911764705882,69.55,0,10
326,1,1,1,36.0,135.6333,1,0
327,0,3,0,61.0,6.2375,0,0
328,1,2,1,36.0,13.0,1,0
329,1,3,1,31.0,20.525,0,2
330,1,1,1,16.0,57.9792,1,1
331,1,3,1,29.69911764705882,23.25,0,2
332,0,1,0,45.5,28.5,1,0
333,0,1,0,38.0,153.4625,1,1
334,0,3,0,16.0,18.0,0,2
335,1,1,1,29.69911764705882,133.65,0,1
336,0,3,0,29.69911764705882,7.8958,0,0
337,0,1,0,29.0,66.6,1,1
338,1,1,1,41.0,134.5,1,0
339,1,3,0,45.0,8.05,0,0
340,0,1,0,45.0,35.5,1,0
341,1,2,0,2.0,26.0,1,2
342,1,1,1,24.0,263.0,1,5
343,0,2,0,28.0,13.0,0,0
344,0,2,0,25.0,13.0,0,0
345,0,2,0,36.0,13.0,0,0
346,1,2,1,24.0,13.0,1,0
347,1,2,1,40.0,13.0,0,0
348,1,3,1,29.69911764705882,16.1,0,1
349,1,3,0,3.0,15.9,0,2
350,0,3,0,42.0,8.6625,0,0
351,0,3,0,23.0,9.225,0,0
352,0,1,0,29.69911764705882,35.0,1,0
353,0,3,0,15.0,7.2292,0,2
354,0,3,0,25.0,17.8,0,1
355,0,3,0,29.69911764705882,7.225,0,0
356,0,3,0,28.0,9.5,0,0
357,1,1,1,22.0,55.0,1,1
358,0,2,1,38.0,13.0,0,0
359,1,3,1,29.69911764705882,7.8792,0,0
360,1,3,1,29.69911764705882,7.8792,0,0
361,0,3,0,40.0,27.9,0,5
362,0,2,0,29.0,27.7208,0,1
363,0,3,1,45.0,14.4542,0,1
364,0,3,0,35.0,7.05,0,0
365,0,3,0,29.69911764705882,15.5,0,1
366,0,3,0,30.0,7.25,0,0
367,1,1,1,60.0,75.25,1,1
368,1,3,1,29.69911764705882,7.2292,0,0
369,1,3,1,29.69911764705882,7.75,0,0
370,1,1,1,24.0,69.3,1,0
371,1,1,0,25.0,55.4417,1,1
372,0,3,0,18.0,6.4958,0,1
373,0,3,0,19.0,8.05,0,0
374,0,1,0,22.0,135.6333,0,0
375,0,3,1,3.0,21.075,0,4
376,1,1,1,29.69911764705882,82.1708,0,1
377,1,3,1,22.0,7.25,0,0
378,0,1,0,27.0,211.5,1,2
379,0,3,0,20.0,4.0125,0,0
380,0,3,0,19.0,7.775,0,0
381,1,1,1,42.0,227.525,0,0
382,1,3,1,1.0,15.7417,0,2
383,0,3,0,32.0,7.925,0,0
384,1,1,1,35.0,52.0,0,1
385,0,3,0,29.69911764705882,7.8958,0,0
386,0,2,0,18.0,73.5,0,0
387,0,3,0,1.0,46.9,0,7
388,1,2,1,36.0,13.0,0,0
389,0,3,0,29.69911764705882,7.7292,0,0
390,1,2,1,17.0,12.0,0,0
391,1,1,0,36.0,120.0,1,3
392,1,3,0,21.0,7.7958,0,0
393,0,3,0,28.0,7.925,0,2
394,1,1,1,23.0,113.275,1,1
395,1,3,1,24.0,16.7,1,2
396,0,3,0,22.0,7.7958,0,0
397,0,3,1,31.0,7.8542,0,0
398,0,2,0,46.0,26.0,0,0
399,0,2,0,23.0,10.5,0,0
400,1,2,1,28.0,12.65,0,0
401,1,3,0,39.0,7.925,0,0
402,0,3,0,26.0,8.05,0,0
403,0,3,1,21.0,9.825,0,1
404,0,3,0,28.0,15.85,0,1
405,0,3,1,20.0,8.6625,0,0
406,0,2,0,34.0,21.0,0,1
407,0,3,0,51.0,7.75,0,0
408,1,2,0,3.0,18.75,0,2
409,0,3,0,21.0,7.775,0,0
410,0,3,1,29.69911764705882,25.4667,0,4
411,0,3,0,29.69911764705882,7.8958,0,0
412,0,3,0,29.69911764705882,6.8583,0,0
413,1,1,1,33.0,90.0,1,1
414,0,2,0,29.69911764705882,0.0,0,0
415,1,3,0,44.0,7.925,0,0
416,0,3,1,29.69911764705882,8.05,0,0
417,1,2,1,34.0,32.5,0,2
418,1,2,1,18.0,13.0,0,2
419,0,2,0,30.0,13.0,0,0
420,0,3,1,10.0,24.15,0,2
421,0,3,0,29.69911764705882,7.8958,0,0
422,0,3,0,21.0,7.7333,0,0
423,0,3,0,29.0,7.875,0,0
424,0,3,1,28.0,14.4,0,2
425,0,3,0,18.0,20.2125,0,2
426,0,3,0,29.69911764705882,7.25,0,0
427,1,2,1,28.0,26.0,0,1
428,1,2,1,19.0,26.0,0,0
429,0,3,0,29.69911764705882,7.75,0,0
430,1,3,0,32.0,8.05,1,0
431,1,1,0,28.0,26.55,1,0
432,1,3,1,29.69911764705882,16.1,0,1
433,1,2,1,42.0,26.0,0,1
434,0,3,0,17.0,7.125,0,0
435,0,1,0,50.0,55.9,1,1
436,1,1,1,14.0,120.0,1,3
437,0,3,1,21.0,34.375,0,4
438,1,2,1,24.0,18.75,0,5
439,0,1,0,64.0,263.0,1,5
440,0,2,0,31.0,10.5,0,0
441,1,2,1,45.0,26.25,0,2
442,0,3,0,20.0,9.5,0,0
443,0,3,0,25.0,7.775,0,1
444,1,2,1,28.0,13.0,0,0
445,1,3,0,29.69911764705882,8.1125,0,0
446,1,1,0,4.0,81.8583,1,2
447,1,2,1,13.0,19.5,0,1
448,1,1,0,34.0,26.55,0,0
449,1,3,1,5.0,19.2583,0,3
450,1,1,0,52.0,30.5,1,0
451,0,2,0,36.0,27.75,0,3
452,0,3,0,29.69911764705882,19.9667,0,1
453,0,1,0,30.0,27.75,1,0
454,1,1,0,49.0,89.1042,1,1
455,0,3,0,29.69911764705882,8.05,0,0
456,1,3,0,29.0,7.8958,0,0
457,0,1,0,65.0,26.55,1,0
458,1,1,1,29.69911764705882,51.8625,1,1
459,1,2,1,50.0,10.5,0,0
460,0,3,0,29.69911764705882,7.75,0,0
461,1,1,0,48.0,26.55,1,0
462,0,3,0,34.0,8.05,0,0
463,0,1,0,47.0,38.5,1,0
464,0,2,0,48.0,13.0,0,0
465,0,3,0,29.69911764705882,8.05,0,0
466,0,3,0,38.0,7.05,0,0
467,0,2,0,29.69911764705882,0.0,0,0
468,0,1,0,56.0,26.55,0,0
469,0,3,0,29.69911764705882,7.725,0,0
470,1,3,1,0.75,19.2583,0,3
471,0,3,0,29.69911764705882,7.25,0,0
472,0,3,0,38.0,8.6625,0,0
473,1,2,1,33.0,27.75,0,3
474,1,2,1,23.0,13.7917,1,0
475,0,3,1,22.0,9.8375,0,0
476,0,1,0,29.69911764705882,52.0,1,0
477,0,2,0,34.0,21.0,0,1
478,0,3,0,29.0,7.0458,0,1
479,0,3,0,22.0,7.5208,0,0
480,1,3,1,2.0,12.2875,0,1
481,0,3,0,9.0,46.9,0,7
482,0,2,0,29.69911764705882,0.0,0,0
483,0,3,0,50.0,8.05,0,0
484,1,3,1,63.0,9.5875,0,0
485,1,1,0,25.0,91.0792,1,1
486,0,3,1,29.69911764705882,25.4667,0,4
487,1,1,1,35.0,90.0,1,1
488,0,1,0,58.0,29.7,1,0
489,0,3,0,30.0,8.05,0,0
490,1,3,0,9.0,15.9,0,2
491,0,3,0,29.69911764705882,19.9667,0,1
492,0,3,0,21.0,7.25,0,0
493,0,1,0,55.0,30.5,1,0
494,0,1,0,71.0,49.5042,0,0
495,0,3,0,21.0,8.05,0,0
496,0,3,0,29.69911764705882,14.4583,0,0
497,1,1,1,54.0,78.2667,1,1
498,0,3,0,29.69911764705882,15.1,0,0
499,0,1,1,25.0,151.55,1,3
500,0,3,0,24.0,7.7958,0,0
501,0,3,0,17.0,8.6625,0,0
502,0,3,1,21.0,7.75,0,0
503,0,3,1,29.69911764705882,7.6292,0,0
504,0,3,1,37.0,9.5875,0,0
505,1,1,1,16.0,86.5,1,0
506,0,1,0,18.0,108.9,1,1
507,1,2,1,33.0,26.0,0,2
508,1,1,0,29.69911764705882,26.55,0,0
509,0,3,0,28.0,22.525,0,0
510,1,3,0,26.0,56.4958,0,0
511,1,3,0,29.0,7.75,0,0
512,0,3,0,29.69911764705882,8.05,0,0
513,1,1,0,36.0,26.2875,1,0
514,1,1,1,54.0,59.4,0,1
515,0,3,0,24.0,7.4958,0,0
516,0,1,0,47.0,34.0208,1,0
517,1,2,1,34.0,10.5,1,0
518,0,3,0,29.69911764705882,24.15,0,0
519,1,2,1,36.0,26.0,0,1
520,0,3,0,32.0,7.8958,0,0
521,1,1,1,30.0,93.5,1,0
522,0,3,0,22.0,7.8958,0,0
523,0,3,0,29.69911764705882,7.225,0,0
524,1,1,1,44.0,57.9792,1,1
525,0,3,0,29.69911764705882,7.2292,0,0
526,0,3,0,40.5,7.75,0,0
527,1,2,1,50.0,10.5,0,0
528,0,1,0,29.69911764705882,221.7792,1,0
529,0,3,0,39.0,7.925,0,0
530,0,2,0,23.0,11.5,0,3
531,1,2,1,2.0,26.0,0,2
532,0,3,0,29.69911764705882,7.2292,0,0
533,0,3,0,17.0,7.2292,0,2
534,1,3,1,29.69911764705882,22.3583,0,2
535,0,3,1,30.0,8.6625,0,0
536,1,2,1,7.0,26.25,0,2
537,0,1,0,45.0,26.55,1,0
538,1,1,1,30.0,106.425,0,0
539,0,3,0,29.69911764705882,14.5,0,0
540,1,1,1,22.0,49.5,1,2
541,1,1,1,36.0,71.0,1,2
542,0,3,1,9.0,31.275,0,6
543,0,3,1,11.0,31.275,0,6
544,1,2,0,32.0,26.0,0,1
545,0,1,0,50.0,106.425,1,1
546,0,1,0,64.0,26.0,0,0
547,1,2,1,19.0,26.0,0,1
548,1,2,0,29.69911764705882,13.8625,0,0
549,0,3,0,33.0,20.525,0,2
550,1,2,0,8.0,36.75,0,2
551,1,1,0,17.0,110.8833,1,2
552,0,2,0,27.0,26.0,0,0
553,0,3,0,29.69911764705882,7.8292,0,0
554,1,3,0,22.0,7.225,0,0
555,1,3,1,22.0,7.775,0,0
556,0,1,0,62.0,26.55,0,0
557,1,1,1,48.0,39.6,1,1
558,0,1,0,29.69911764705882,227.525,0,0
559,1,1,1,39.0,79.65,1,2
560,1,3,1,36.0,17.4,0,1
561,0,3,0,29.69911764705882,7.75,0,0
562,0,3,0,40.0,7.8958,0,0
563,0,2,0,28.0,13.5,0,0
564,0,3,0,29.69911764705882,8.05,0,0
565,0,3,1,29.69911764705882,8.05,0,0
566,0,3,0,24.0,24.15,0,2
567,0,3,0,19.0,7.8958,0,0
568,0,3,1,29.0,21.075,0,4
569,0,3,0,29.69911764705882,7.2292,0,0
570,1,3,0,32.0,7.8542,0,0
571,1,2,0,62.0,10.5,0,0
572,1,1,1,53.0,51.4792,1,2
573,1,1,0,36.0,26.3875,1,0
574,1,3,1,29.69911764705882,7.75,0,0
575,0,3,0,16.0,8.05,0,0
576,0,3,0,19.0,14.5,0,0
577,1,2,1,34.0,13.0,0,0
578,1,1,1,39.0,55.9,1,1
579,0,3,1,29.69911764705882,14.4583,0,1
580,1,3,0,32.0,7.925,0,0
581,1,2,1,25.0,30.0,0,2
582,1,1,1,39.0,110.8833,1,2
583,0,2,0,54.0,26.0,0,0
584,0,1,0,36.0,40.125,1,0
585,0,3,0,29.69911764705882,8.7125,0,0
586,1,1,1,18.0,79.65,1,2
587,0,2,0,47.0,15.0,0,0
588,1,1,0,60.0,79.2,1,2
589,0,3,0,22.0,8.05,0,0
590,0,3,0,29.69911764705882,8.05,0,0
591,0,3,0,35.0,7.125,0,0
592,1,1,1,52.0,78.2667,1,1
593,0,3,0,47.0,7.25,0,0
594,0,3,1,29.69911764705882,7.75,0,2
595,0,2,0,37.0,26.0,0,1
596,0,3,0,36.0,24.15,0,2
597,1,2,1,29.69911764705882,33.0,0,0
598,0,3,0,49.0,0.0,0,0
599,0,3,0,29.69911764705882,7.225,0,0
600,1,1,0,49.0,56.9292,1,1
601,1,2,1,24.0,27.0,0,3
602,0,3,0,29.69911764705882,7.8958,0,0
603,0,1,0,29.69911764705882,42.4,0,0
604,0,3,0,44.0,8.05,0,0
605,1,1,0,35.0,26.55,0,0
606,0,3,0,36.0,15.55,0,1
607,0,3,0,30.0,7.8958,0,0
608,1,1,0,27.0,30.5,0,0
609,1,2,1,22.0,41.5792,0,3
610,1,1,1,40.0,153.4625,1,0
611,0,3,1,39.0,31.275,0,6
612,0,3,0,29.69911764705882,7.05,0,0
613,1,3,1,29.69911764705882,15.5,0,1
614,0,3,0,29.69911764705882,7.75,0,0
615,0,3,0,35.0,8.05,0,0
616,1,2,1,24.0,65.0,0,3
617,0,3,0,34.0,14.4,0,2
618,0,3,1,26.0,16.1,0,1
619,1,2,1,4.0,39.0,1,3
620,0,2,0,26.0,10.5,0,0
621,0,3,0,27.0,14.4542,0,1
622,1,1,0,42.0,52.5542,1,1
623,1,3,0,20.0,15.7417,0,2
624,0,3,0,21.0,7.8542,0,0
625,0,3,0,21.0,16.1,0,0
626,0,1,0,61.0,32.3208,1,0
627,0,2,0,57.0,12.35,0,0
628,1,1,1,21.0,77.9583,1,0
629,0,3,0,26.0,7.8958,0,0
630,0,3,0,29.69911764705882,7.7333,0,0
631,1,1,0,80.0,30.0,1,0
632,0,3,0,51.0,7.0542,0,0
633,1,1,0,32.0,30.5,1,0
634,0,1,0,29.69911764705882,0.0,0,0
635,0,3,1,9.0,27.9,0,5
636,1,2,1,28.0,13.0,0,0
637,0,3,0,32.0,7.925,0,0
638,0,2,0,31.0,26.25,0,2
639,0,3,1,41.0,39.6875,0,5
640,0,3,0,29.69911764705882,16.1,0,1
641,0,3,0,20.0,7.8542,0,0
642,1,1,1,24.0,69.3,1,0
643,0,3,1,2.0,27.9,0,5
644,1,3,0,29.69911764705882,56.4958,0,0
645,1,3,1,0.75,19.2583,0,3
646,1,1,0,48.0,76.7292,1,1
647,0,3,0,19.0,7.8958,0,0
648,1,1,0,56.0,35.5,1,0
649,0,3,0,29.69911764705882,7.55,0,0
650,1,3,1,23.0,7.55,0,0
651,0,3,0,29.69911764705882,7.8958,0,0
652,1,2,1,18.0,23.0,0,1
653,0,3,0,21.0,8.4333,0,0
654,1,3,1,29.69911764705882,7.8292,0,0
655,0,3,1,18.0,6.75,0,0
656,0,2,0,24.0,73.5,0,2
657,0,3,0,29.69911764705882,7.8958,0,0
